Title,Year,prop_skinny,n_days
150,1989,0,1
1500,1998,1,1
1501,1998,0,2
1503,1998,0,1
1504,1998,0,1
1505,1998,0,1
1507,1998,0,2
151,1989,0,1
1510,1998,0,3
1512,1998,0,1
1512,2002,0,1
1513,1998,0,1
1515,1998,0,1
152,1989,0,1
152,1990,0,5
153,1989,0,1
153,1990,0,2
156,1989,0,1
156,1990,0,1
158,1990,0,1
159,1989,0,1
159,1993,0,1
159,1996,0.5,2
159,1997,0,4
159,1998,0,2
16,1990,0,2
16,2001,0,1
16,2002,0,2
16,2011,0,6
16,2018,0,1
1602,1999,0,1
1605,1999,0,1
1618,1999,0,3
162,1989,0,1
162,1994,0,2
162,1997,0,2
162,1999,0,1
162,2011,0,1
162,2013,0,1
162,2018,0,2
1621,1999,0,1
1622,1999,0,1
1623,1999,0,1
1626,1999,0,1
1628,1999,0,2
1630,1999,0,5
1631,1999,0,1
1632,1999,0,1
1633,1999,0,8
1634,1999,0,6
1642,2001,0,1
1645,1999,0,6
1651,1999,0,2
166,1990,0,2
1662,1999,0,3
1667,1999,0,1
1672,1999,0,1
1674,1999,0,1
1676,1999,0,1
1676,2001,0,1
1676,2002,0,1
1676,2013,0,1
1676,2018,0,2
1677,1999,0,1
168,1989,0,2
1687,1999,0,1
1692,1999,0,1
1693,1999,0,1
1695,1999,0,1
1696,1999,0,1
1697,1999,0,1
17,1989,0,2
17,1996,0,3
17,1999,0,2
17,2001,0,2
17,2002,0,2
170,1997,0,1
170,1998,0,3
170,1999,0,4
170,2011,0,2
1707,2001,0,1
1715,2001,0,1
1716,2001,0,1
1720,2001,0,1
1721,2001,0,1
1723,2001,0,1
1730,2001,0,1
1735,2001,0,1
1737,2001,0,1
1739,2001,0,1
1739,2011,0,5
1739,2013,0,3
1739,2015,0,4
1739,2016,1,1
1739,2018,0,2
174,1989,0,1
1744,2001,0,1
1747,2006,0,5
1747,2007,0,1
1747,2018,0,2
1749,2001,0,1
1750,2001,0,1
1752,2001,0,2
1753,2001,0,2
1755,2001,0,1
1756,2001,0,1
1757,2001,0,1
1757,2006,0,4
1757,2010,0,2
1757,2011,0,2
1757,2015,0,1
1757,2016,0,1
1757,2018,0,1
1759,2001,0,1
176,1989,0,1
1764,2001,0,1
1765,2001,0,1
1771,2001,0,1
1772,2001,0,1
1774,2001,0,1
1777,2001,0,1
1779,2001,0,1
1779,2002,0,2
1779,2006,0,2
1779,2010,0,2
1779,2011,0,1
178,1989,0,1
1791,2001,0,1
1796,2001,0,1
18,1989,0,2
18,1990,0,2
18,1994,0,1
18,1995,0,1
18,1996,0,2
18,1997,0,2
1803,2001,0,1
1804,2001,0,1
1818,2001,0,1
1825,2001,0,1
1829,2001,0,1
1829,2002,0,1
1829,2011,0,3
183,1989,0,2
183,1996,0,3
1832,2001,0,1
184,1989,0,1
184,1990,0,3
185,1997,0,1
186,1989,0,1
186,1990,0,2
189,1989,0,1
1904,2002,0,2
1904,2006,0,3
1904,2010,0,2
1904,2015,0,2
1907,2002,0,1
1914,2002,0,1
1917,2002,0,2
1919,2002,0,1
1924,2002,0,1
1926,2002,0,1
1929,2002,0,4
1929,2011,0,1
1930,2002,0,3
1932,2002,0,1
1939,2002,0,1
1942,2002,0,1
1943,2002,0,1
1946,2002,0,2
195,1989,0,1
1951,2002,0,1
1956,2002,0,1
1957,2002,0,1
1959,2002,0,1
1960,2002,0,1
1961,2002,0,1
1962,2002,0,1
1964,2002,0,1
1966,2002,0,2
1967,2002,0,2
1968,2002,0,1
197,1989,0,1
1970,2002,0,1
1971,2002,0,1
1972,2002,0,1
1978,2002,0,2
1980,2002,0,1
1981,2002,0,1
1982,2002,0,1
1983,2002,0,1
1987,2002,0,1
2,1989,0,4
2000,2002,0,1
2008,2002,0,1
2010,2002,0,1
2013,2002,0,1
2013,2011,0,3
2014,2002,0,1
2019,2002,0,2
2020,2002,0,1
2021,2002,0,1
2022,2002,0,1
2025,2002,0,1
2028,2002,0,2
2028,2010,0,2
2028,2011,0,6
2028,2015,0,1
2028,2018,0,2
2029,2002,0,1
2030,2002,0,1
2032,2002,0,1
2033,2002,0,1
2034,2002,0,2
2036,2002,0,1
2038,2002,0,1
2040,2002,0,1
2041,2002,0,2
2042,2002,0,1
2044,2002,0,1
2048,2002,0,1
2048,2011,0.25,4
2048,2015,0.6666666666666666,3
2048,2016,0,1
2048,2018,0.5,2
2049,2002,0,1
2052,2002,0,1
2055,2002,0,1
2056,2002,0,1
2062,2002,0,2
207,1989,0,1
2077,2002,0,1
208,1989,0,1
208,1990,0,1
2081,2002,0,1
2089,2002,0,1
2090,2002,0,1
2096,2002,0,1
2097,2002,0,1
21,1989,0,2
21,1990,0,2
2101,2002,0,1
2102,1999,0,1
2102,2002,0,1
2102,2003,0,1
2102,2011,0,2
2102,2013,0,1
2102,2018,0,2
2103,2002,0,1
2104,2002,0,1
2106,2002,0,1
2107,2002,0,1
2107,2003,0,1
2109,2002,0,1
2110,2002,0,1
2112,2002,0,1
2116,2002,0,1
213,1990,0,3
213,2001,0,2
213,2002,0,5
2130,2002,0,1
2131,2002,0,1
2133,2002,0,1
2135,2002,0,1
2137,2002,0,1
2138,2002,0,1
2144,2002,0,1
2146,2002,0,1
2147,2002,0,1
2148,2002,0,1
215,1989,0,1
2150,2002,0,1
2153,2002,0,1
2156,2002,0,1
22,1989,0,1
22,1990,0,1
222,1994,0,1
222,1998,0,1
2220,2003,0,2
2229,2003,0,1
223,1988,0,1
2232,2003,0,1
2233,2003,0,1
2235,2003,0,1
2237,2003,0,1
2238,2003,0,1
2241,2003,0,1
2246,2003,0,1
2246,2011,0,1
2250,2003,0,1
2252,2003,0,1
2258,2003,0,1
2259,2003,0,1
2260,2003,0,1
2263,2003,0,1
2308,2003,0,1
235,1990,0,3
235,1993,0,4
235,1994,0,1
237,1990,0,3
237,1993,0,1
238,1990,0,4
24,1989,0,1
240,1990,0,3
242,1988,0,1
242,1990,0,1
244,1988,0,1
245,1988,0,1
25,1989,0,3
250,1988,0,1
251,1988,0,1
251,1990,0,3
251,1993,0,2
251,1994,0,4
251,1996,0,2
251,1997,0,1
251,1998,0,3
251,1999,0.33333333333333337,3
251,2002,0,2
251,2003,0,3
26,1989,0,2
265,1990,0,1
266,1990,0,1
267,1990,0,6
267,1993,0,4
269,1990,0,1
270,1990,0,1
271,1990,0,6
273,1990,0,3
275,1990,0,1
277,1990,0,3
278,1990,0,1
279,1990,0,1
28,1989,0,3
28,1990,0,3
28,1996,0,3
28,1997,0,3
28,2001,0,1
28,2002,0,2
28,2013,0,1
28,2018,0,1
280,1990,0,1
281,1990,0,2
282,1990,0,3
283,1990,0,2
285,1990,0,2
289,1990,0,3
29,1989,0,1
29,1993,0,1
290,1990,0,3
291,1990,0,5
293,1990,1,1
293,2001,0,1
293,2002,0.5,2
293,2011,0.5,2
293,2015,0,2
295,1990,0,4
297,1990,0,1
3,1988,0,1
3,1989,0,4
3,1990,0,4
3,1994,0,1
3,1998,0,9
3,1999,0,4
3,2001,0,1
3,2002,0,3
3,2003,0,1
3009,2006,0,3
3009,2011,0,7
3009,2013,0,3
3009,2016,0,1
3009,2018,0,3
301,1990,0,1
3012,2006,0,2
3012,2007,0,1
3012,2010,0,3
3012,2011,0,2
3012,2013,0,3
3012,2016,0,1
3012,2018,0,2
3013,2006,0,1
3014,2006,0,1
3016,2011,0,3
3016,2013,0.5,2
3016,2018,1,2
302,1990,0,1
3024,2006,0,2
3025,2006,0,1
3025,2011,0,4
3025,2018,0,2
303,1996,0,1
303,1998,0,4
303,2011,0,1
303,2015,0,1
3034,2006,0,1
3035,2006,0,1
304,1990,0,2
3046,2006,0,1
305,1990,0,2
305,1993,0,1
3055,2006,0,1
3056,2006,0,1
306,1990,1,1
3065,2006,0,1
3082,2006,0,1
3085,2006,0,1
3086,2006,0,2
3086,2007,0,1
3086,2010,0,2
3086,2018,0,1
3087,2006,0,3
3098,2006,0,1
3098,2011,0,1
3098,2018,0,1
31,1989,0,1
3101,2006,0,1
3103,2006,0,1
3105,2006,0,1
3106,2006,0,1
3108,2006,0,1
313,1990,0,2
314,1990,0,8
315,1990,0,2
316,1990,0,5
317,1990,0,4
317,1993,0,1
317,1996,0,2
317,1997,0,1
317,2002,0,1
318,1990,0,3
32,1989,0,2
32,1990,0,2
32,1994,0,1
320,1990,0,2
322,1990,0,1
322,1994,0,1
328,1990,0,2
329,1990,0,3
33,1989,0,1
33,1996,0,2
33,1998,0,8
33,1999,0,3
33,2001,0,1
33,2002,0,2
33,2003,0,1
330,1990,0,2
331,1990,0,1
332,1990,0,2
333,1990,0,2
337,1990,0,1
34,1989,0,1
34,1990,0,1
348,1990,0,1
351,1990,0,1
355,1990,0,2
356,1990,0,1
360,1990,0,1
361,1990,0,1
363,1990,0,1
363,1996,0,1
37,1988,0,1
37,1989,0,4
37,1990,0,2
37,1996,0,3
37,1997,0.5,2
37,1998,0,4
37,1999,0,7
37,2001,0,2
37,2002,0,3
370,1990,0,1
374,1990,0,1
375,1990,0,1
380,1990,0,1
383,1990,0,1
384,1990,0,1
385,1990,0,1
385,1994,0,1
386,1990,0,1
389,1990,0,2
39,1989,0,2
390,1990,0,1
390,1994,0,1
390,1995,0,1
391,1990,0,1
394,1990,0,1
395,1990,0,1
399,1990,0,1
40,1989,0,1
40,1990,0,1
405,1990,0,1
406,1990,0,3
407,1990,0,2
407,1995,1,1
407,1996,0,1
409,1990,0,1
409,1993,0,1
409,1996,0,4
409,1997,0,4
409,1998,0,7
409,2002,0,3
409,2011,0.5,2
41,1989,0,2
4103,2006,0,2
4103,2007,0,1
4103,2010,0,3
4103,2011,0,4
4103,2013,0,1
4103,2015,0,1
4103,2016,0,1
4103,2018,0,3
4104,2007,0,1
4104,2015,0,3
4104,2018,0,1
4107,2007,0,1
4108,2007,0,1
4111,2007,0,1
4111,2018,0,1
4113,2007,0,1
4113,2010,0,1
4113,2015,1,3
4113,2016,1,1
4113,2018,0,1
4114,2007,0,1
4114,2011,0,4
4114,2018,0,1
4116,2007,0,1
4117,2007,0,1
4117,2011,0,4
4117,2016,0,1
4117,2018,0,2
4118,2007,0,1
4118,2010,0,1
4118,2018,0,1
4119,2007,0,1
4120,2007,0,1
413,1990,0,2
413,1996,0,2
413,1997,0,3
413,1998,0,8
413,1999,0,6
413,2002,0,3
413,2003,0,1
418,1990,0,1
418,1991,0,1
418,1993,0,1
418,1996,0,1
42,1989,0,1
420,1990,0,2
4200,2008,0,1
4201,2008,0,1
4203,2008,0,1
4203,2010,0,2
4203,2011,0,2
4203,2015,0,1
4203,2018,0,1
4206,2011,0,4
4206,2018,0,2
4207,2008,0,1
4207,2018,0,1
4208,2008,0,1
425,1990,0,2
427,1990,0,3
427,1996,0,1
43,1988,0,1
43,1989,0,2
43,1990,0,1
432,1990,0,2
432,1993,0,3
433,1990,0.5,2
433,1993,0,1
435,1990,0,2
436,1990,0,2
437,1990,0,1
440,1990,0,4
448,1990,0,1
449,1990,0,3
45,1989,0,2
45,1990,0,6
45,1993,0,2
45,1994,0,1
45,1996,0,7
45,1997,0,7
45,1998,0,11
45,1999,0,5
45,2001,0,1
45,2002,0,1
45,2003,0,4
45,2010,0,1
45,2011,0.5,2
45,2013,0,3
45,2015,1,1
45,2016,0,1
45,2018,0.33333333333333337,3
450,1990,0,1
4513,2009,0,1
4513,2010,1,1
4513,2011,0,4
4513,2013,0,3
4513,2015,0,3
4513,2018,0,2
4514,2009,0,1
4514,2011,0,4
4514,2018,0,1
452,1990,0,1
453,1990,0,1
46,1989,0,3
46,1990,0,1
461,1990,0,1
462,1990,0,2
464,1990,0,1
465,1990,0,1
466,1990,0,1
466,1996,0,3
467,1990,0,1
468,1990,0,1
47,1989,0,3
47,1990,0,3
470,1990,0,1
473,1990,0,1
477,1990,0,1
478,1990,0,1
479,1990,0,1
480,1990,0,1
480,1996,0,1
480,1997,0,2
480,1998,0,1
480,1999,0,3
480,2001,0,2
480,2002,0,1
480,2003,0,1
480,2011,0.16666666666666666,6
480,2013,0,1
480,2018,0,3
483,1990,0,1
484,1990,0,1
488,1990,0,1
49,1989,0,2
490,1990,0,1
494,1990,0,2
496,1990,0,2
498,1990,0,1
5,1989,0,6
5,1990,0,1
5,1993,0,2
5,1997,0,1
5,2001,0,2
50,1989,0,2
5001,2011,0,2
5001,2015,0,1
5001,2016,0,1
5001,2018,0,1
5002,2011,0,4
5002,2015,0,6
5003,2010,0,5
5003,2011,0,5
5003,2015,0,1
5003,2016,0,1
5003,2018,0,1
5005,2011,0,2
5006,2011,0,1
5007,2011,0,1
5009,2010,0,1
5009,2011,0,3
5009,2013,0,3
5009,2018,0,2
501,1990,0,2
5011,2011,0,2
5015,2011,0,2
5016,2011,0,2
5018,2011,0,8
5018,2015,0,1
5018,2016,0,1
5018,2018,0,1
5019,2011,0,8
5019,2018,0,1
5021,2011,0,4
5021,2018,0,1
5024,2011,0,2
5024,2015,0,3
5025,2011,0,5
5025,2015,0,2
5025,2018,0,1
5026,2011,0,3
5026,2018,0,2
5027,2011,0,5
5027,2013,0,1
5027,2018,0,2
5028,2011,0,5
5028,2018,0,1
5029,2010,0,3
5029,2011,0,5
5029,2015,0,2
5029,2018,0,2
5031,2010,0,5
5031,2011,0,7
5031,2018,0,2
5032,2010,0,3
5032,2011,0,2
5032,2018,0,1
5033,2010,0,5
5033,2011,0,6
5033,2018,0,1
5035,2010,0,2
5035,2011,0,5
5035,2013,0,1
5035,2015,0,2
5035,2018,0,1
5036,2010,0,3
5036,2011,0,3
5036,2013,0,1
5036,2015,0,2
5036,2016,0,1
5036,2018,0,3
5039,2010,0,4
5039,2011,0,2
5039,2018,0,1
504,1990,0,1
5041,2011,0,2
5043,2011,0,1
5044,2010,0,4
5044,2011,0,2
5044,2018,0,2
5045,2011,0,2
5047,2011,0,2
5049,2011,0,5
5052,2011,0.2,5
5052,2018,0,1
5053,2011,0,2
5059,2011,0,4
5059,2015,0,4
5059,2018,0,1
506,1993,0,1
5061,2011,0,4
5061,2015,0.16666666666666669,6
5061,2016,0,1
5063,2011,0,1
5064,2011,0,1
5065,2011,0,4
5066,2011,0,1
5067,2010,0,6
5067,2011,0,2
5067,2016,0,1
5067,2018,0,1
5068,2011,0,5
5068,2015,0,5
5068,2016,0,1
5069,2011,0,5
5069,2018,0,1
507,1990,0,1
507,1993,0,4
507,1996,0,3
507,1997,0,2
507,2001,0,1
5071,2011,0,6
5071,2015,0,1
5071,2016,0,2
5075,2010,0,3
5075,2011,0,7
5075,2015,0,1
5075,2016,0,2
5075,2018,0,1
5078,2013,0,2
5078,2015,0.33333333333333337,3
5078,2016,0,1
5078,2018,0,2
5079,2011,0,3
508,1990,0,2
508,1994,0,1
5080,2011,0,1
5080,2013,0,3
5080,2015,0.25,4
5080,2016,0,1
5080,2018,0,2
5081,2011,0,2
5088,2011,0,3
5088,2018,0,1
509,1990,0,2
509,1997,0,1
5090,2011,0,3
5091,2011,0,4
5092,2011,0,6
5092,2015,0,1
5092,2018,0,1
5099,2011,0,3
51,1989,0,1
51,1990,0,3
510,1990,0,1
5103,2011,0,1
5104,2011,0,2
5104,2013,0,1
5104,2015,0,1
5104,2018,0,2
5106,2011,0,3
5106,2018,0,1
5108,2011,0,2
5108,2018,0,1
5109,2010,0,1
5109,2011,0,2
5109,2015,0,3
5109,2018,0,1
5110,2011,0,2
5110,2018,0,1
5111,2010,0,1
5111,2011,0,2
5111,2015,0,2
5111,2018,0,1
5112,2010,0,2
5112,2011,0,2
5112,2018,0,2
5113,2010,0,3
5113,2011,0,2
5113,2018,0,2
5114,2010,0,1
5114,2011,0,2
5114,2015,0,1
5114,2016,0,1
5115,2011,0,1
5116,2011,1,1
5117,2011,1,2
5118,2011,0,2
5119,2011,0,2
5123,2011,0,2
5124,2011,0,1
5124,2018,0,1
5125,2011,0,2
5126,2011,0,2
5126,2018,0,1
5127,2010,0,1
5127,2011,0,5
5127,2015,0,1
5128,2011,0,2
5128,2018,0,1
5129,2011,0,2
5129,2018,0,1
5130,2011,0,2
5130,2018,0,2
5131,2011,0,2
5132,2011,0,1
5132,2015,0,1
5133,2011,0,2
5133,2015,0,1
5135,2011,0,2
5135,2015,0,1
5135,2018,0,1
5136,2011,0,2
5137,2011,0,2
5137,2018,0,1
5139,2011,0,2
5140,2011,0,1
5141,2011,0,2
5142,2011,0,1
5144,2011,0,2
5144,2018,0,1
5145,2011,0,2
5146,2011,0,3
5147,2011,0,1
5148,2010,0,2
5148,2011,0,1
5148,2018,0,1
5149,2011,0,1
5150,2011,0,2
5151,2011,0,2
5154,2011,0,2
5154,2018,0,1
5158,2010,0,2
5158,2011,0,6
5158,2015,0,1
5158,2016,0,1
5159,2011,0,1
5159,2013,0,1
5159,2016,0,1
5159,2018,0,2
5161,2010,0,2
5161,2011,0,2
5163,2011,0,1
5165,2011,0,1
5165,2013,0,2
5165,2015,0,1
5165,2016,0,1
5165,2018,0,2
5166,2011,0,1
5168,2011,0,1
5169,2011,0,2
5170,2011,0,2
5172,2011,0,2
5173,2011,0,1
5179,2011,0,2
518,1990,0.5,2
518,1998,0,4
5180,2011,0,1
5183,2011,0,1
5184,2010,0,3
5184,2011,0,1
5184,2018,0,1
5185,2011,0,1
5189,2011,0,1
5191,2011,0,1
5193,2010,1,2
5193,2011,0,1
5193,2018,1,1
5194,2011,0,1
5194,2015,0,2
5194,2016,0.5,2
5194,2018,0,2
5196,2011,0,1
5197,2011,0,1
5197,2018,0,1
5198,2011,0,1
5199,2011,0,1
52,1989,0,2
5201,2011,0,1
5202,2011,1,2
5203,2011,0,1
5204,2011,1,1
5205,2011,0,1
5206,2011,0,1
5206,2015,0.2,5
5208,2011,0,1
5214,2011,0,1
5216,2011,0,1
5217,2011,0,2
5217,2018,0,1
5220,2011,1,1
5221,2011,0,1
5222,2011,0,1
5223,2010,0.33333333333333337,3
5223,2018,0,1
5228,2011,1,1
5229,2011,0,1
5229,2013,0,2
5229,2015,0,1
5229,2018,0,2
531,1990,0,3
531,1993,0,2
531,1994,0,4
531,1995,0,1
531,1996,0,6
531,1999,0,5
531,2001,0,1
531,2002,0,1
531,2006,0,1
531,2011,0,1
531,2015,0.33333333333333337,3
532,1990,0,1
537,1990,0,1
539,1990,0,1
54,1989,0,2
54,1990,0,2
54,1993,0.5,2
54,1995,0,1
54,1996,0,1
54,1997,0.4,5
54,1998,1,5
54,1999,0,3
54,2003,1,1
54,2006,0,1
54,2010,0,1
54,2011,1,1
54,2013,0,1
54,2015,0,2
54,2016,1,2
54,2018,0,1
544,1990,0,1
545,1990,0,1
547,1990,0,1
549,1990,0,1
549,1994,0,3
549,1996,0,4
549,1998,0,1
549,1999,0,4
549,2002,0,2
554,1990,0,1
555,1990,0,1
558,1990,0,1
558,2006,0,1
56,2006,0,2
561,1990,0,1
562,1990,0,1
563,1990,0,1
56R,1998,0,1
57,1989,0,1
57,1990,0,3
57,1996,0,1
57,2001,0,2
572,1991,0,1
59,1990,0,4
59,1997,0,1
5908,2010,0,1
5910,2010,1,1
5910,2018,0,1
5919,2010,0,2
5919,2018,0,1
5926,2010,0,1
5926,2018,0,1
5963,2013,0,2
5963,2018,0,1
5986,2018,0,1
6,1989,0,2
6000,2013,0,2
6000,2018,0,2
6001,2013,0,1
6001,2018,0,2
6002,2013,0,1
6002,2016,0,1
6002,2018,0,2
6003,2013,0.33333333333333337,3
6003,2018,0,2
6004,2013,0,1
6004,2018,0,2
6005,2018,0,1
6006,2013,0,1
6006,2018,0,2
6007,2018,0,1
6008,2018,0,1
6009,2018,1,1
6010,2015,0,2
6010,2018,0,2
6011,2013,0,2
6011,2018,0,1
6012,2018,0,2
6013,2018,0,2
6014,2013,0,1
6014,2018,0,2
6015,2013,0,2
6015,2015,0,1
6015,2018,0,2
6016,2013,0,1
6016,2015,0,2
6016,2016,0,1
6016,2018,0,1
6017,2013,0,1
6017,2015,0,1
6017,2016,0,1
6017,2018,0,2
6018,2013,0,1
6018,2018,0,2
6019,2013,0,1
6020,2013,0,1
6021,2013,0,2
6021,2018,0,2
6022,2013,0,1
6022,2015,0,3
6023,2013,0,1
6023,2018,0,1
6024,2013,0,2
6024,2018,0,1
6025,2013,0,1
6025,2015,0,1
6025,2016,0,1
6025,2018,0,1
6026,2015,0,4
6026,2018,0,1
6027,2015,0,2
6027,2018,0,2
6028,2013,0,1
6028,2018,0,1
6029,2013,0,1
6031,2013,0,3
6032,2013,0,1
6032,2018,0,1
6033,2018,0,1
6034,2013,0,1
6035,2018,0,2
604,1993,0,1
605,1993,0,1
606,1993,0,1
606,1997,0,1
606,2001,0,1
606,2002,0,1
606,2003,0,1
606,2010,0,2
606,2011,0,1
606,2013,0,1
606,2018,0,2
607,1993,0,1
61,1989,0,3
61,1990,0,4
61,1993,0,2
6100,2015,0,2
6102,2015,0,2
6103,2015,0,1
6104,2015,0,3
6104,2016,0,1
6105,2015,0,1
6106,2015,0,1
6107,2015,0,2
6108,2015,0,1
6109,2015,0,1
6110,2015,0,2
6111,2015,0,1
6112,2015,0,2
6112,2016,0,1
6113,2015,0,1
6114,2015,0,1
6115,2015,0,4
6115,2016,0,1
6116,2015,0,2
6117,2015,0,3
6118,2015,0,2
6119,2015,0,2
6120,2015,0,6
6121,2015,0,1
6122,2015,0,3
6123,2015,0,1
6124,2015,0,2
6125,2015,0,1
6126,2015,0,3
6127,2015,0.2,5
6128,2015,0,4
