"Title","Sex","Age","Skinny","Date_Time"
"1040","FemaleJ","Adult","No",1996-08-27
"1040","FemaleJ","Adult","No",1999-08-11
"1040","FemaleJ","Adult","No",1999-08-17
"1040","FemaleJ","Adult","No",1999-08-18
"1040","FemaleJ","Adult","No",1999-08-21
"1042",NA,"Adult","No",1996-06-10
"1042",NA,"Adult","No",1996-06-12
"1042",NA,"Adult","No",1997-07-03
"1043",NA,"Juvenile","No",1996-06-10
"1043",NA,"Juvenile","No",1996-06-12
"1043",NA,"Juvenile","No",1996-06-21
"1045","FemaleJ","Adult","No",1996-06-12
"1046","FemaleJ","Adult","No",1996-06-12
"1046","FemaleJ","Adult","No",1996-06-21
"1046","FemaleJ","Adult","No",1996-08-05
"1046","FemaleJ","Adult","No",1996-08-21
"1046","FemaleJ","Adult","No",1996-08-25
"1046","FemaleJ","Adult","No",1997-07-03
"1046","FemaleJ","Adult","No",1997-07-06
"1047",NA,"Adult","No",1996-06-17
"105",NA,"Adult","No",1989-08-10
"105",NA,"Adult","No",1990-07-14
"1054",NA,"Adult","No",1996-06-17
"1057",NA,"Adult","No",1996-06-17
"1058","FemaleJ","Adult","No",1996-06-17
"1058","FemaleJ","Adult","No",1996-06-18
"1058","FemaleJ","Adult","No",1996-06-19
"1058","FemaleJ","Adult","No",1996-06-20
"1058","FemaleJ","Adult","No",1996-06-23
"1059",NA,"Adult","No",1996-06-17
"106","FemaleJ","Adult","No",1989-08-10
"106","FemaleJ","Adult","No",1989-08-13
"106","FemaleJ","Adult","No",1990-07-16
"1062","FemaleJ","Adult","No",1996-06-17
"1062","FemaleJ","Adult","No",1996-06-18
"1062","FemaleJ","Adult","No",1996-06-19
"1062","FemaleJ","Adult","No",1996-06-20
"1063",NA,"Adult","No",1996-06-10
"1063",NA,"Adult","No",1996-06-17
"1063",NA,"Adult","No",1996-06-18
"1063",NA,"Adult","No",1996-06-19
"1063",NA,"Adult","No",1996-06-22
"1063",NA,"Adult","No",1996-06-23
"1063",NA,"Adult","No",1997-08-16
"1066",NA,"Adult","No",1996-06-18
"1068",NA,"Adult","No",1996-06-18
"1069",NA,"Adult","No",1996-06-18
"1069",NA,"Adult","No",1997-07-02
"1069",NA,"Adult","No",1997-07-03
"1072","FemaleJ","Adult","No",1996-06-18
"1072","FemaleJ","Adult","No",1996-06-19
"1072","FemaleJ","Adult","No",1996-06-20
"1081",NA,"Adult","No",1996-06-19
"1081",NA,"Adult","No",1996-06-20
"1093",NA,"Juvenile","No",1996-06-22
"1094","FemaleJ","Adult","No",1996-06-10
"1094","FemaleJ","Adult","No",1996-06-22
"1094","FemaleJ","Adult","Yes",1996-08-23
"1094","FemaleJ","Adult","No",1997-07-03
"1094","FemaleJ","Adult","No",1997-07-07
"1094","FemaleJ","Adult","No",1997-07-13
"1097",NA,"Adult","No",1996-06-22
"1097",NA,"Adult","No",1996-08-05
"1100",NA,"Adult","No",1996-06-23
"1109",NA,"Adult","No",1996-07-30
"1109",NA,"Adult","No",1996-08-27
"111",NA,"Adult","No",1989-08-10
"1110",NA,"Adult","No",1996-07-30
"1114","Male","Adult","No",1996-08-01
"1114","Male","Adult","No",1996-08-06
"1114","Male","Adult","No",1996-08-22
"1114","Male","Adult","No",1996-08-27
"1114","Male","Adult","No",1997-06-09
"1114","Male","Adult","No",1997-06-17
"1114","Male","Adult","No",1999-08-21
"1114","Male","Adult","No",2008-09-03
"1114","Male","Adult","No",2018-03-16
"1116",NA,"Adult","No",1996-08-01
"1121",NA,"Adult","No",1996-08-08
"1121",NA,"Adult","No",1996-08-25
"1121",NA,"Adult","No",1996-08-27
"1123","Male","Adult","No",1996-08-21
"1124",NA,"Adult","No",1996-08-21
"1126","FemaleJ","Adult","No",1996-08-21
"1130",NA,"Adult","No",1996-08-22
"1134","Male","Adult","No",1996-08-22
"1136",NA,"Juvenile","No",1996-08-23
"1140",NA,"Adult","No",1996-08-25
"1142",NA,"Adult","No",1996-08-25
"1142",NA,"Adult","No",1996-08-27
"1146",NA,"Adult","No",1997-08-24
"1146",NA,"Adult","No",1997-08-25
"1146",NA,"Adult","No",1998-07-12
"1146",NA,"Adult","No",1998-07-13
"1146",NA,"Adult","No",1998-07-19
"1146",NA,"Adult","No",1998-07-20
"1146",NA,"Adult","No",1998-07-26
"1146",NA,"Adult","No",1998-07-27
"1146",NA,"Adult","No",1998-07-28
"1146",NA,"Adult","No",1998-08-09
"1146",NA,"Adult","No",1998-08-11
"1146",NA,"Adult","No",1998-08-15
"1146",NA,"Adult","No",1999-08-17
"1147","FemaleJ","Adult","No",1996-08-27
"1147","FemaleJ","Adult","No",1997-08-13
"1147","FemaleJ","Adult","No",1998-07-27
"1147","FemaleJ","Adult","No",1998-08-09
"1147","FemaleJ","Adult","No",1998-08-16
"1147","FemaleJ","Adult","No",1999-07-19
"1147","FemaleJ","Adult","No",1999-07-23
"1147","FemaleJ","Adult","No",1999-08-12
"1147","FemaleJ","Adult","No",1999-08-18
"1147","FemaleJ","Adult","No",2006-07-26
"1147","FemaleJ","Adult","No",2006-08-01
"1147","FemaleJ","Adult","No",2010-07-24
"1147","FemaleJ","Adult","No",2010-07-28
"1147","FemaleJ","Adult","No",2010-07-30
"1147","FemaleJ","Adult","No",2010-08-03
"1147","FemaleJ","Adult","No",2015-08-03
"1148",NA,"Adult","No",1996-08-25
"1148",NA,"Adult","No",1996-08-27
"115",NA,"Adult","No",1989-08-10
"115",NA,"Adult","No",1990-08-05
"115",NA,"Adult","No",1990-08-09
"1152",NA,"Adult","No",1996-08-27
"1153",NA,"Adult","No",1996-08-27
"1155","FemaleJ","Adult","No",1996-08-27
"1155","FemaleJ","Adult","No",1998-07-19
"1155","FemaleJ","Adult","No",1998-07-23
"1155","FemaleJ","Adult","No",1998-07-26
"1155","FemaleJ","Adult","No",1998-07-27
"1155","FemaleJ","Adult","No",1998-07-28
"1155","FemaleJ","Adult","No",1998-08-08
"1155","FemaleJ","Adult","No",1998-08-09
"1155","FemaleJ","Adult","No",1998-08-15
"1155","FemaleJ","Adult","No",1998-08-20
"1155","FemaleJ","Adult","No",1998-08-21
"1158",NA,"Adult","No",1996-08-27
"116",NA,"Adult","No",1989-08-10
"1160",NA,"Adult","No",1996-08-27
"1163","FemaleJ","Juvenile","No",1996-08-27
"1168",NA,"Adult","No",1996-08-27
"1173","Male","Adult","No",1996-08-27
"1173","Male","Adult","No",1996-08-28
"1173","Male","Adult","No",2001-08-30
"1174","FemaleJ","Adult","No",1996-08-27
"1176",NA,"Adult","No",1996-08-27
"1179","Male","Adult","No",1996-08-27
"118","Male","Adult","No",1989-08-10
"118","Male","Adult","No",1998-07-14
"118","Male","Adult","No",1998-07-19
"118","Male","Adult","No",1998-07-20
"118","Male","Adult","No",1998-07-27
"118","Male","Adult","No",1998-07-28
"118","Male","Adult","No",1998-07-29
"1183",NA,"Adult","No",1996-06-09
"1185",NA,"Adult","No",1996-06-12
"119",NA,"Adult","No",1989-08-10
"1190",NA,"Adult","No",1996-08-28
"120","Male","Adult","No",1989-08-10
"120","Male","Adult","No",1996-06-09
"120","Male","Adult","No",1996-06-17
"120","Male","Adult","Yes",1996-06-22
"120","Male","Adult","No",1997-06-11
"120","Male","Adult","No",1999-08-12
"120","Male","Adult","No",1999-08-17
"120","Male","Adult","No",2002-08-05
"120","Male","Adult","No",2002-08-08
"120","Male","Adult","No",2002-08-14
"120","Male","Adult","No",2002-08-27
"120","Male","Adult","No",2003-08-28
"120","Male","Adult","No",2003-08-29
"120","Male","Adult","No",2006-07-28
"120","Male","Adult","Yes",2013-09-06
"120","Male","Adult","Yes",2018-08-16
"1205",NA,"Adult","No",1997-06-09
"1206",NA,"Adult","No",1997-06-09
"1206",NA,"Adult","No",1997-06-10
"1206",NA,"Adult","No",1997-06-15
"1208",NA,"Adult","No",1997-06-10
"1208",NA,"Adult","No",1997-06-15
"1217",NA,"Adult","No",1997-06-16
"1217",NA,"Adult","No",1997-07-06
"1217",NA,"Adult","No",1997-07-13
"1219",NA,"Adult","No",1997-06-16
"1220",NA,"Adult","No",1997-06-16
"1220",NA,"Adult","No",1997-07-06
"1220",NA,"Adult","No",1997-07-13
"1221",NA,"Adult","No",1997-06-16
"1221",NA,"Adult","No",1997-07-07
"1227",NA,"Adult","No",1997-06-16
"1229",NA,"Adult","No",1997-06-20
"1233",NA,"Adult","No",1997-06-21
"1234",NA,"Adult","No",1997-06-21
"1237",NA,"Adult","No",1997-06-21
"1239","FemaleJ","Juvenile","No",1997-07-02
"1239","FemaleJ","Juvenile","No",1997-07-31
"1239","FemaleJ","Juvenile","No",1997-08-04
"1239","FemaleJ","Juvenile","No",1998-07-21
"1239","FemaleJ","Juvenile","No",1998-07-26
"1239","FemaleJ","Juvenile","No",1998-07-28
"1239","FemaleJ","Juvenile","No",1998-08-08
"1239","FemaleJ","Juvenile","No",1998-08-09
"124","Male","Adult","No",1989-08-10
"124","Male","Adult","No",1989-08-11
"124","Male","Adult","No",1994-08-13
"124","Male","Adult","No",1996-06-09
"124","Male","Adult","No",1996-06-10
"124","Male","Adult","No",1996-07-30
"124","Male","Adult","No",1996-08-01
"124","Male","Adult","No",1996-08-25
"124","Male","Adult","No",1997-08-14
"124","Male","Adult","No",1997-08-16
"124","Male","Adult","No",2002-08-08
"124","Male","Adult","No",2002-08-27
"1244",NA,"Adult","No",1997-07-02
"1247",NA,"Adult","No",1997-07-02
"1248",NA,"Adult","No",1997-07-02
"1248",NA,"Adult","No",1997-07-03
"1249",NA,"Adult","No",1997-07-02
"1251",NA,"Adult","No",1997-07-03
"1253","FemaleJ","Adult","No",1997-07-03
"1253","FemaleJ","Adult","No",1997-07-06
"1253","FemaleJ","Adult","No",1998-07-14
