"Year","Title","Sex","Age_Class","Strength","Degree","Betweenness","Eigenvector"
"1989","1","Male","Adult",10.1063492063492,34,0.464332852882253,0.946170594520799
"1990","1","Male","Adult",9.95067155067155,27,0.0209510357815443,0.834215540558712
"1994","1","Male","Adult",12.4,14,0.087843137254902,0.648451668845637
"1996","1","Male","Adult",1.1047619047619,3,0.010062893081761,0.003113194796957
"1998","1","Male","Adult",4.64278385013679,19,0.0338935574229692,0.357818120003256
"1999","1","Male","Adult",4.21219336219336,14,0.0315497076023392,0.105350707831189
"2001","1","Male","Adult",3.66666666666667,6,0.0166238657764081,0.10340978057006
"2002","1","Male","Adult",5.5,8,0,0.0584192773720307
"2003","1","Male","Adult",5.16666666666667,8,0.039602534562212,0.516447046669947
"1989","10","Male","Adult",4.61904761904762,6,0.000285551113649343,0.34965184023476
"1990","10","Male","Adult",1.16666666666667,2,0.0100796096558808,0.00468343013824004
"1996","10","Male","Adult",0.4,1,0,0.0057003417011973
"1998","10","Male","Adult",5.62670458196774,19,0.0185107376283847,0.446273350264003
"1999","10","Male","Adult",2.81111111111111,6,0.0256140350877193,0.0438729930957893
"2002","10","Male","Adult",5.13333333333333,7,0.000704638872577804,0.0457141006938737
"2011","10","Male","Adult",6.18571428571429,12,0.000249588254107744,0.171524019162644
"1996","1000","FemaleJ","Adult",0.285714285714286,1,0,0.000103463203401038
"1997","1000","FemaleJ","Adult",4.15793650793651,9,0.0274093722369584,0.0631188292387717
"1996","1009",NA,"Adult",2.01904761904762,4,0,0.0638410365513639
"1989","101","Male","Adult",1.66666666666667,2,0,0.020718184014457
"1990","101","Male","Adult",6.25,13,0.0585366375620613,0.104473143024279
"1996","1016",NA,"Adult",1.28571428571429,2,0,0.000122014486184222
"1996","1019","FemaleJ","Adult",0.285714285714286,1,0,0.000103463203401031
"1998","1019","FemaleJ","Adult",4.86575873387019,17,0.0133053221288515,0.487884923841163
"1999","1019","FemaleJ","Adult",1.91666666666667,5,0,0.0704257366616514
"2001","1019","FemaleJ","Adult",3,3,0.0169491525423729,0.00249098708853297
"2002","1019","FemaleJ","Adult",9,11,0.0163207895386404,0.266852826701506
"1989","102","Male","Adult",1.66666666666667,2,0,0.020718184014457
"1990","102","Male","Adult",6.01833852422088,28,0.233371854134566,0.165736562733341
"1993","102","Male","Adult",3.33333333333333,5,0.108853410740203,0.000607738384646567
"1996","102","Male","Adult",8.2952380952381,19,0.0125187181790955,0.275211990526941
"1997","102","Male","Adult",5.59285714285714,13,0,0.104925157761589
"1998","102","Male","Adult",1.9047619047619,4,0,0.0366526903015251
"1999","102","Male","Adult",2.73333333333333,5,0,0.0782249032623215
"2001","102","Male","Adult",16.3333333333333,17,0.0850231124807396,1
"2002","102","Male","Adult",7.55238095238095,18,0.189175963985124,0.00560193346701055
"2011","102","Male","Adult",4.11921411921412,20,0.0560040173247128,0.0102817817388902
